"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C59","C_1608","48.5mm","38mm","48.5mm","38mm","48.5mm","37.3mm","B","90.00","104"
"C87","C_1608","48.5mm","52mm","48.5mm","52mm","48.5mm","51.3mm","B","90.00","104"
"C115","C_1608","48.5mm","66mm","48.5mm","66mm","48.5mm","65.3mm","B","90.00","104"
"C143","C_1608","48.5mm","80mm","48.5mm","80mm","48.5mm","79.3mm","B","90.00","104"
"C171","C_1608","48.5mm","94mm","48.5mm","94mm","48.5mm","93.3mm","B","90.00","104"
"C199","C_1608","48.5mm","108mm","48.5mm","108mm","48.5mm","107.3mm","B","90.00","104"
"C227","C_1608","48.5mm","122mm","48.5mm","122mm","48.5mm","121.3mm","B","90.00","104"
"C255","C_1608","48.5mm","136mm","48.5mm","136mm","48.5mm","135.3mm","B","90.00","104"
"C283","C_1608","48.5mm","150mm","48.5mm","150mm","48.5mm","149.3mm","B","90.00","104"
"C311","C_1608","48.5mm","164mm","48.5mm","164mm","48.5mm","163.3mm","B","90.00","104"
"C339","C_1608","48.5mm","178mm","48.5mm","178mm","48.5mm","177.3mm","B","90.00","104"
"C367","C_1608","48.5mm","192mm","48.5mm","192mm","48.5mm","191.3mm","B","90.00","104"
"C395","C_1608","48.5mm","206mm","48.5mm","206mm","48.5mm","205.3mm","B","90.00","104"
"C423","C_1608","48.5mm","220mm","48.5mm","220mm","48.5mm","219.3mm","B","90.00","104"
"C451","C_1608","48.5mm","234mm","48.5mm","234mm","48.5mm","233.3mm","B","90.00","104"
"C479","C_1608","48.5mm","248mm","48.5mm","248mm","48.5mm","247.3mm","B","90.00","104"
"C507","C_1608","48.5mm","262mm","48.5mm","262mm","48.5mm","261.3mm","B","90.00","104"
"C535","C_1608","48.5mm","276mm","48.5mm","276mm","48.5mm","275.3mm","B","90.00","104"
"C563","C_1608","48.5mm","290mm","48.5mm","290mm","48.5mm","289.3mm","B","90.00","104"
"C591","C_1608","48.5mm","304mm","48.5mm","304mm","48.5mm","303.3mm","B","90.00","104"
"C619","C_1608","48.5mm","318mm","48.5mm","318mm","48.5mm","317.3mm","B","90.00","104"
"C647","C_1608","48.5mm","332mm","48.5mm","332mm","48.5mm","331.3mm","B","90.00","104"
"C675","C_1608","48.5mm","346mm","48.5mm","346mm","48.5mm","345.3mm","B","90.00","104"
"C703","C_1608","48.5mm","360mm","48.5mm","360mm","48.5mm","359.3mm","B","90.00","104"
"C731","C_1608","48.5mm","374mm","48.5mm","374mm","48.5mm","373.3mm","B","90.00","104"
"C759","C_1608","48.5mm","388mm","48.5mm","388mm","48.5mm","387.3mm","B","90.00","104"
"C787","C_1608","48.5mm","402mm","48.5mm","402mm","48.5mm","401.3mm","B","90.00","104"
"C815","C_1608","48.5mm","416mm","48.5mm","416mm","48.5mm","415.3mm","B","90.00","104"
"C843","C_1608","48.5mm","430mm","48.5mm","430mm","48.5mm","429.3mm","B","90.00","104"
"C871","C_1608","48.5mm","444mm","48.5mm","444mm","48.5mm","443.3mm","B","90.00","104"
"C899","C_1608","48.5mm","458mm","48.5mm","458mm","48.5mm","457.3mm","B","90.00","104"
"C927","C_1608","48.5mm","472mm","48.5mm","472mm","48.5mm","471.3mm","B","90.00","104"
"C955","C_1608","48.5mm","486mm","48.5mm","486mm","48.5mm","485.3mm","B","90.00","104"
"LED32","LED_WS2812C-2020","62.5mm","24mm","62.5mm","24mm","63.5mm","23.5mm","T","360.00","WS2812C-2020"
"LED60","LED_WS2812C-2020","62.5mm","38mm","62.5mm","38mm","63.5mm","37.5mm","T","360.00","WS2812C-2020"
"LED88","LED_WS2812C-2020","62.5mm","52mm","62.5mm","52mm","63.5mm","51.5mm","T","360.00","WS2812C-2020"
"LED116","LED_WS2812C-2020","62.5mm","66mm","62.5mm","66mm","63.5mm","65.5mm","T","360.00","WS2812C-2020"
"LED144","LED_WS2812C-2020","62.5mm","80mm","62.5mm","80mm","63.5mm","79.5mm","T","360.00","WS2812C-2020"
"LED172","LED_WS2812C-2020","62.5mm","94mm","62.5mm","94mm","63.5mm","93.5mm","T","360.00","WS2812C-2020"
"LED200","LED_WS2812C-2020","62.5mm","108mm","62.5mm","108mm","63.5mm","107.5mm","T","360.00","WS2812C-2020"
"LED228","LED_WS2812C-2020","62.5mm","122mm","62.5mm","122mm","63.5mm","121.5mm","T","360.00","WS2812C-2020"
"LED256","LED_WS2812C-2020","62.5mm","136mm","62.5mm","136mm","63.5mm","135.5mm","T","360.00","WS2812C-2020"
"LED284","LED_WS2812C-2020","62.5mm","150mm","62.5mm","150mm","63.5mm","149.5mm","T","360.00","WS2812C-2020"
"LED312","LED_WS2812C-2020","62.5mm","164mm","62.5mm","164mm","63.5mm","163.5mm","T","360.00","WS2812C-2020"
"LED340","LED_WS2812C-2020","62.5mm","178mm","62.5mm","178mm","63.5mm","177.5mm","T","360.00","WS2812C-2020"
"LED368","LED_WS2812C-2020","62.5mm","192mm","62.5mm","192mm","63.5mm","191.5mm","T","360.00","WS2812C-2020"
"LED396","LED_WS2812C-2020","62.5mm","206mm","62.5mm","206mm","63.5mm","205.5mm","T","360.00","WS2812C-2020"
"LED424","LED_WS2812C-2020","62.5mm","220mm","62.5mm","220mm","63.5mm","219.5mm","T","360.00","WS2812C-2020"
"LED452","LED_WS2812C-2020","62.5mm","234mm","62.5mm","234mm","63.5mm","233.5mm","T","360.00","WS2812C-2020"
"LED480","LED_WS2812C-2020","62.5mm","248mm","62.5mm","248mm","63.5mm","247.5mm","T","360.00","WS2812C-2020"
"LED508","LED_WS2812C-2020","62.5mm","262mm","62.5mm","262mm","63.5mm","261.5mm","T","360.00","WS2812C-2020"
"LED536","LED_WS2812C-2020","62.5mm","276mm","62.5mm","276mm","63.5mm","275.5mm","T","360.00","WS2812C-2020"
"LED564","LED_WS2812C-2020","62.5mm","290mm","62.5mm","290mm","63.5mm","289.5mm","T","360.00","WS2812C-2020"
"LED592","LED_WS2812C-2020","62.5mm","304mm","62.5mm","304mm","63.5mm","303.5mm","T","360.00","WS2812C-2020"
"LED620","LED_WS2812C-2020","62.5mm","318mm","62.5mm","318mm","63.5mm","317.5mm","T","360.00","WS2812C-2020"
"LED648","LED_WS2812C-2020","62.5mm","332mm","62.5mm","332mm","63.5mm","331.5mm","T","360.00","WS2812C-2020"
"LED676","LED_WS2812C-2020","62.5mm","346mm","62.5mm","346mm","63.5mm","345.5mm","T","360.00","WS2812C-2020"
"LED704","LED_WS2812C-2020","62.5mm","360mm","62.5mm","360mm","63.5mm","359.5mm","T","360.00","WS2812C-2020"
"LED732","LED_WS2812C-2020","62.5mm","374mm","62.5mm","374mm","63.5mm","373.5mm","T","360.00","WS2812C-2020"
"LED760","LED_WS2812C-2020","62.5mm","388mm","62.5mm","388mm","63.5mm","387.5mm","T","360.00","WS2812C-2020"
"LED788","LED_WS2812C-2020","62.5mm","402mm","62.5mm","402mm","63.5mm","401.5mm","T","360.00","WS2812C-2020"
"LED816","LED_WS2812C-2020","62.5mm","416mm","62.5mm","416mm","63.5mm","415.5mm","T","360.00","WS2812C-2020"
"LED844","LED_WS2812C-2020","62.5mm","430mm","62.5mm","430mm","63.5mm","429.5mm","T","360.00","WS2812C-2020"
"LED872","LED_WS2812C-2020","62.5mm","444mm","62.5mm","444mm","63.5mm","443.5mm","T","360.00","WS2812C-2020"
"LED900","LED_WS2812C-2020","62.5mm","458mm","62.5mm","458mm","63.5mm","457.5mm","T","360.00","WS2812C-2020"
"LED928","LED_WS2812C-2020","62.5mm","472mm","62.5mm","472mm","63.5mm","471.5mm","T","360.00","WS2812C-2020"
"LED956","LED_WS2812C-2020","62.5mm","486mm","62.5mm","486mm","63.5mm","485.5mm","T","360.00","WS2812C-2020"
"C32","C_1608","62.5mm","24mm","62.5mm","24mm","62.5mm","23.3mm","B","90.00","104"
"C60","C_1608","62.5mm","38mm","62.5mm","38mm","62.5mm","37.3mm","B","90.00","104"
"C88","C_1608","62.5mm","52mm","62.5mm","52mm","62.5mm","51.3mm","B","90.00","104"
"C116","C_1608","62.5mm","66mm","62.5mm","66mm","62.5mm","65.3mm","B","90.00","104"
"C144","C_1608","62.5mm","80mm","62.5mm","80mm","62.5mm","79.3mm","B","90.00","104"
"C172","C_1608","62.5mm","94mm","62.5mm","94mm","62.5mm","93.3mm","B","90.00","104"
"C200","C_1608","62.5mm","108mm","62.5mm","108mm","62.5mm","107.3mm","B","90.00","104"
"C228","C_1608","62.5mm","122mm","62.5mm","122mm","62.5mm","121.3mm","B","90.00","104"
"C256","C_1608","62.5mm","136mm","62.5mm","136mm","62.5mm","135.3mm","B","90.00","104"
"C284","C_1608","62.5mm","150mm","62.5mm","150mm","62.5mm","149.3mm","B","90.00","104"
"C312","C_1608","62.5mm","164mm","62.5mm","164mm","62.5mm","163.3mm","B","90.00","104"
"C340","C_1608","62.5mm","178mm","62.5mm","178mm","62.5mm","177.3mm","B","90.00","104"
"C368","C_1608","62.5mm","192mm","62.5mm","192mm","62.5mm","191.3mm","B","90.00","104"
"C396","C_1608","62.5mm","206mm","62.5mm","206mm","62.5mm","205.3mm","B","90.00","104"
"C424","C_1608","62.5mm","220mm","62.5mm","220mm","62.5mm","219.3mm","B","90.00","104"
"C452","C_1608","62.5mm","234mm","62.5mm","234mm","62.5mm","233.3mm","B","90.00","104"
"C480","C_1608","62.5mm","248mm","62.5mm","248mm","62.5mm","247.3mm","B","90.00","104"
"C508","C_1608","62.5mm","262mm","62.5mm","262mm","62.5mm","261.3mm","B","90.00","104"
"C536","C_1608","62.5mm","276mm","62.5mm","276mm","62.5mm","275.3mm","B","90.00","104"
"C564","C_1608","62.5mm","290mm","62.5mm","290mm","62.5mm","289.3mm","B","90.00","104"
"C592","C_1608","62.5mm","304mm","62.5mm","304mm","62.5mm","303.3mm","B","90.00","104"
"C620","C_1608","62.5mm","318mm","62.5mm","318mm","62.5mm","317.3mm","B","90.00","104"
"C648","C_1608","62.5mm","332mm","62.5mm","332mm","62.5mm","331.3mm","B","90.00","104"
"C676","C_1608","62.5mm","346mm","62.5mm","346mm","62.5mm","345.3mm","B","90.00","104"
"C704","C_1608","62.5mm","360mm","62.5mm","360mm","62.5mm","359.3mm","B","90.00","104"
"C732","C_1608","62.5mm","374mm","62.5mm","374mm","62.5mm","373.3mm","B","90.00","104"
"C760","C_1608","62.5mm","388mm","62.5mm","388mm","62.5mm","387.3mm","B","90.00","104"
"C788","C_1608","62.5mm","402mm","62.5mm","402mm","62.5mm","401.3mm","B","90.00","104"
"C816","C_1608","62.5mm","416mm","62.5mm","416mm","62.5mm","415.3mm","B","90.00","104"
"C844","C_1608","62.5mm","430mm","62.5mm","430mm","62.5mm","429.3mm","B","90.00","104"
"C872","C_1608","62.5mm","444mm","62.5mm","444mm","62.5mm","443.3mm","B","90.00","104"
"C900","C_1608","62.5mm","458mm","62.5mm","458mm","62.5mm","457.3mm","B","90.00","104"
"C928","C_1608","62.5mm","472mm","62.5mm","472mm","62.5mm","471.3mm","B","90.00","104"
"C956","C_1608","62.5mm","486mm","62.5mm","486mm","62.5mm","485.3mm","B","90.00","104"
"LED33","LED_WS2812C-2020","76.5mm","24mm","76.5mm","24mm","77.5mm","23.5mm","T","360.00","WS2812C-2020"
"LED61","LED_WS2812C-2020","76.5mm","38mm","76.5mm","38mm","77.5mm","37.5mm","T","360.00","WS2812C-2020"
"LED89","LED_WS2812C-2020","76.5mm","52mm","76.5mm","52mm","77.5mm","51.5mm","T","360.00","WS2812C-2020"
"LED117","LED_WS2812C-2020","76.5mm","66mm","76.5mm","66mm","77.5mm","65.5mm","T","360.00","WS2812C-2020"
"LED145","LED_WS2812C-2020","76.5mm","80mm","76.5mm","80mm","77.5mm","79.5mm","T","360.00","WS2812C-2020"
"LED173","LED_WS2812C-2020","76.5mm","94mm","76.5mm","94mm","77.5mm","93.5mm","T","360.00","WS2812C-2020"
"LED201","LED_WS2812C-2020","76.5mm","108mm","76.5mm","108mm","77.5mm","107.5mm","T","360.00","WS2812C-2020"
"LED229","LED_WS2812C-2020","76.5mm","122mm","76.5mm","122mm","77.5mm","121.5mm","T","360.00","WS2812C-2020"
"LED257","LED_WS2812C-2020","76.5mm","136mm","76.5mm","136mm","77.5mm","135.5mm","T","360.00","WS2812C-2020"
"LED285","LED_WS2812C-2020","76.5mm","150mm","76.5mm","150mm","77.5mm","149.5mm","T","360.00","WS2812C-2020"
"LED313","LED_WS2812C-2020","76.5mm","164mm","76.5mm","164mm","77.5mm","163.5mm","T","360.00","WS2812C-2020"
"LED341","LED_WS2812C-2020","76.5mm","178mm","76.5mm","178mm","77.5mm","177.5mm","T","360.00","WS2812C-2020"
"LED369","LED_WS2812C-2020","76.5mm","192mm","76.5mm","192mm","77.5mm","191.5mm","T","360.00","WS2812C-2020"
"LED397","LED_WS2812C-2020","76.5mm","206mm","76.5mm","206mm","77.5mm","205.5mm","T","360.00","WS2812C-2020"
"LED425","LED_WS2812C-2020","76.5mm","220mm","76.5mm","220mm","77.5mm","219.5mm","T","360.00","WS2812C-2020"
"LED453","LED_WS2812C-2020","76.5mm","234mm","76.5mm","234mm","77.5mm","233.5mm","T","360.00","WS2812C-2020"
"LED481","LED_WS2812C-2020","76.5mm","248mm","76.5mm","248mm","77.5mm","247.5mm","T","360.00","WS2812C-2020"
"LED509","LED_WS2812C-2020","76.5mm","262mm","76.5mm","262mm","77.5mm","261.5mm","T","360.00","WS2812C-2020"
"LED537","LED_WS2812C-2020","76.5mm","276mm","76.5mm","276mm","77.5mm","275.5mm","T","360.00","WS2812C-2020"
"LED565","LED_WS2812C-2020","76.5mm","290mm","76.5mm","290mm","77.5mm","289.5mm","T","360.00","WS2812C-2020"
"LED593","LED_WS2812C-2020","76.5mm","304mm","76.5mm","304mm","77.5mm","303.5mm","T","360.00","WS2812C-2020"
"LED621","LED_WS2812C-2020","76.5mm","318mm","76.5mm","318mm","77.5mm","317.5mm","T","360.00","WS2812C-2020"
"LED649","LED_WS2812C-2020","76.5mm","332mm","76.5mm","332mm","77.5mm","331.5mm","T","360.00","WS2812C-2020"
"LED677","LED_WS2812C-2020","76.5mm","346mm","76.5mm","346mm","77.5mm","345.5mm","T","360.00","WS2812C-2020"
"LED705","LED_WS2812C-2020","76.5mm","360mm","76.5mm","360mm","77.5mm","359.5mm","T","360.00","WS2812C-2020"
"LED733","LED_WS2812C-2020","76.5mm","374mm","76.5mm","374mm","77.5mm","373.5mm","T","360.00","WS2812C-2020"
"LED761","LED_WS2812C-2020","76.5mm","388mm","76.5mm","388mm","77.5mm","387.5mm","T","360.00","WS2812C-2020"
"LED789","LED_WS2812C-2020","76.5mm","402mm","76.5mm","402mm","77.5mm","401.5mm","T","360.00","WS2812C-2020"
"LED817","LED_WS2812C-2020","76.5mm","416mm","76.5mm","416mm","77.5mm","415.5mm","T","360.00","WS2812C-2020"
"LED845","LED_WS2812C-2020","76.5mm","430mm","76.5mm","430mm","77.5mm","429.5mm","T","360.00","WS2812C-2020"
"LED873","LED_WS2812C-2020","76.5mm","444mm","76.5mm","444mm","77.5mm","443.5mm","T","360.00","WS2812C-2020"
"LED901","LED_WS2812C-2020","76.5mm","458mm","76.5mm","458mm","77.5mm","457.5mm","T","360.00","WS2812C-2020"
"LED929","LED_WS2812C-2020","76.5mm","472mm","76.5mm","472mm","77.5mm","471.5mm","T","360.00","WS2812C-2020"
"LED957","LED_WS2812C-2020","76.5mm","486mm","76.5mm","486mm","77.5mm","485.5mm","T","360.00","WS2812C-2020"
"C33","C_1608","76.5mm","24mm","76.5mm","24mm","76.5mm","23.3mm","B","90.00","104"
"C61","C_1608","76.5mm","38mm","76.5mm","38mm","76.5mm","37.3mm","B","90.00","104"
"C89","C_1608","76.5mm","52mm","76.5mm","52mm","76.5mm","51.3mm","B","90.00","104"
"C117","C_1608","76.5mm","66mm","76.5mm","66mm","76.5mm","65.3mm","B","90.00","104"
"C145","C_1608","76.5mm","80mm","76.5mm","80mm","76.5mm","79.3mm","B","90.00","104"
"C173","C_1608","76.5mm","94mm","76.5mm","94mm","76.5mm","93.3mm","B","90.00","104"
"C201","C_1608","76.5mm","108mm","76.5mm","108mm","76.5mm","107.3mm","B","90.00","104"
"C229","C_1608","76.5mm","122mm","76.5mm","122mm","76.5mm","121.3mm","B","90.00","104"
"C257","C_1608","76.5mm","136mm","76.5mm","136mm","76.5mm","135.3mm","B","90.00","104"
"C285","C_1608","76.5mm","150mm","76.5mm","150mm","76.5mm","149.3mm","B","90.00","104"
"C313","C_1608","76.5mm","164mm","76.5mm","164mm","76.5mm","163.3mm","B","90.00","104"
"C341","C_1608","76.5mm","178mm","76.5mm","178mm","76.5mm","177.3mm","B","90.00","104"
"C369","C_1608","76.5mm","192mm","76.5mm","192mm","76.5mm","191.3mm","B","90.00","104"
"C397","C_1608","76.5mm","206mm","76.5mm","206mm","76.5mm","205.3mm","B","90.00","104"
"C425","C_1608","76.5mm","220mm","76.5mm","220mm","76.5mm","219.3mm","B","90.00","104"
"C453","C_1608","76.5mm","234mm","76.5mm","234mm","76.5mm","233.3mm","B","90.00","104"
"C481","C_1608","76.5mm","248mm","76.5mm","248mm","76.5mm","247.3mm","B","90.00","104"
"C509","C_1608","76.5mm","262mm","76.5mm","262mm","76.5mm","261.3mm","B","90.00","104"
"C537","C_1608","76.5mm","276mm","76.5mm","276mm","76.5mm","275.3mm","B","90.00","104"
"C565","C_1608","76.5mm","290mm","76.5mm","290mm","76.5mm","289.3mm","B","90.00","104"
"C593","C_1608","76.5mm","304mm","76.5mm","304mm","76.5mm","303.3mm","B","90.00","104"
"C621","C_1608","76.5mm","318mm","76.5mm","318mm","76.5mm","317.3mm","B","90.00","104"
"C649","C_1608","76.5mm","332mm","76.5mm","332mm","76.5mm","331.3mm","B","90.00","104"
"C677","C_1608","76.5mm","346mm","76.5mm","346mm","76.5mm","345.3mm","B","90.00","104"
"C705","C_1608","76.5mm","360mm","76.5mm","360mm","76.5mm","359.3mm","B","90.00","104"
"C733","C_1608","76.5mm","374mm","76.5mm","374mm","76.5mm","373.3mm","B","90.00","104"
"C761","C_1608","76.5mm","388mm","76.5mm","388mm","76.5mm","387.3mm","B","90.00","104"
"C789","C_1608","76.5mm","402mm","76.5mm","402mm","76.5mm","401.3mm","B","90.00","104"
"C817","C_1608","76.5mm","416mm","76.5mm","416mm","76.5mm","415.3mm","B","90.00","104"
"C845","C_1608","76.5mm","430mm","76.5mm","430mm","76.5mm","429.3mm","B","90.00","104"
"C873","C_1608","76.5mm","444mm","76.5mm","444mm","76.5mm","443.3mm","B","90.00","104"
"C901","C_1608","76.5mm","458mm","76.5mm","458mm","76.5mm","457.3mm","B","90.00","104"
"C929","C_1608","76.5mm","472mm","76.5mm","472mm","76.5mm","471.3mm","B","90.00","104"
"C957","C_1608","76.5mm","486mm","76.5mm","486mm","76.5mm","485.3mm","B","90.00","104"
"LED34","LED_WS2812C-2020","90.5mm","24mm","90.5mm","24mm","91.5mm","23.5mm","T","360.00","WS2812C-2020"
"LED62","LED_WS2812C-2020","90.5mm","38mm","90.5mm","38mm","91.5mm","37.5mm","T","360.00","WS2812C-2020"
"LED90","LED_WS2812C-2020","90.5mm","52mm","90.5mm","52mm","91.5mm","51.5mm","T","360.00","WS2812C-2020"
"LED118","LED_WS2812C-2020","90.5mm","66mm","90.5mm","66mm","91.5mm","65.5mm","T","360.00","WS2812C-2020"
"LED146","LED_WS2812C-2020","90.5mm","80mm","90.5mm","80mm","91.5mm","79.5mm","T","360.00","WS2812C-2020"
"LED174","LED_WS2812C-2020","90.5mm","94mm","90.5mm","94mm","91.5mm","93.5mm","T","360.00","WS2812C-2020"
"LED202","LED_WS2812C-2020","90.5mm","108mm","90.5mm","108mm","91.5mm","107.5mm","T","360.00","WS2812C-2020"
"LED230","LED_WS2812C-2020","90.5mm","122mm","90.5mm","122mm","91.5mm","121.5mm","T","360.00","WS2812C-2020"
"LED258","LED_WS2812C-2020","90.5mm","136mm","90.5mm","136mm","91.5mm","135.5mm","T","360.00","WS2812C-2020"
"LED286","LED_WS2812C-2020","90.5mm","150mm","90.5mm","150mm","91.5mm","149.5mm","T","360.00","WS2812C-2020"
"LED314","LED_WS2812C-2020","90.5mm","164mm","90.5mm","164mm","91.5mm","163.5mm","T","360.00","WS2812C-2020"
"LED342","LED_WS2812C-2020","90.5mm","178mm","90.5mm","178mm","91.5mm","177.5mm","T","360.00","WS2812C-2020"
"LED370","LED_WS2812C-2020","90.5mm","192mm","90.5mm","192mm","91.5mm","191.5mm","T","360.00","WS2812C-2020"
"LED398","LED_WS2812C-2020","90.5mm","206mm","90.5mm","206mm","91.5mm","205.5mm","T","360.00","WS2812C-2020"
"LED426","LED_WS2812C-2020","90.5mm","220mm","90.5mm","220mm","91.5mm","219.5mm","T","360.00","WS2812C-2020"
"LED454","LED_WS2812C-2020","90.5mm","234mm","90.5mm","234mm","91.5mm","233.5mm","T","360.00","WS2812C-2020"
"LED482","LED_WS2812C-2020","90.5mm","248mm","90.5mm","248mm","91.5mm","247.5mm","T","360.00","WS2812C-2020"
"LED510","LED_WS2812C-2020","90.5mm","262mm","90.5mm","262mm","91.5mm","261.5mm","T","360.00","WS2812C-2020"
"LED538","LED_WS2812C-2020","90.5mm","276mm","90.5mm","276mm","91.5mm","275.5mm","T","360.00","WS2812C-2020"
"LED566","LED_WS2812C-2020","90.5mm","290mm","90.5mm","290mm","91.5mm","289.5mm","T","360.00","WS2812C-2020"
"LED594","LED_WS2812C-2020","90.5mm","304mm","90.5mm","304mm","91.5mm","303.5mm","T","360.00","WS2812C-2020"
"LED622","LED_WS2812C-2020","90.5mm","318mm","90.5mm","318mm","91.5mm","317.5mm","T","360.00","WS2812C-2020"
"LED650","LED_WS2812C-2020","90.5mm","332mm","90.5mm","332mm","91.5mm","331.5mm","T","360.00","WS2812C-2020"
"LED678","LED_WS2812C-2020","90.5mm","346mm","90.5mm","346mm","91.5mm","345.5mm","T","360.00","WS2812C-2020"
"LED706","LED_WS2812C-2020","90.5mm","360mm","90.5mm","360mm","91.5mm","359.5mm","T","360.00","WS2812C-2020"
"LED734","LED_WS2812C-2020","90.5mm","374mm","90.5mm","374mm","91.5mm","373.5mm","T","360.00","WS2812C-2020"
"LED762","LED_WS2812C-2020","90.5mm","388mm","90.5mm","388mm","91.5mm","387.5mm","T","360.00","WS2812C-2020"
"LED790","LED_WS2812C-2020","90.5mm","402mm","90.5mm","402mm","91.5mm","401.5mm","T","360.00","WS2812C-2020"
"LED818","LED_WS2812C-2020","90.5mm","416mm","90.5mm","416mm","91.5mm","415.5mm","T","360.00","WS2812C-2020"
"LED846","LED_WS2812C-2020","90.5mm","430mm","90.5mm","430mm","91.5mm","429.5mm","T","360.00","WS2812C-2020"
"LED874","LED_WS2812C-2020","90.5mm","444mm","90.5mm","444mm","91.5mm","443.5mm","T","360.00","WS2812C-2020"
"LED902","LED_WS2812C-2020","90.5mm","458mm","90.5mm","458mm","91.5mm","457.5mm","T","360.00","WS2812C-2020"
"LED930","LED_WS2812C-2020","90.5mm","472mm","90.5mm","472mm","91.5mm","471.5mm","T","360.00","WS2812C-2020"
"LED958","LED_WS2812C-2020","90.5mm","486mm","90.5mm","486mm","91.5mm","485.5mm","T","360.00","WS2812C-2020"
"C34","C_1608","90.5mm","24mm","90.5mm","24mm","90.5mm","23.3mm","B","90.00","104"
"C62","C_1608","90.5mm","38mm","90.5mm","38mm","90.5mm","37.3mm","B","90.00","104"
"C90","C_1608","90.5mm","52mm","90.5mm","52mm","90.5mm","51.3mm","B","90.00","104"
"C118","C_1608","90.5mm","66mm","90.5mm","66mm","90.5mm","65.3mm","B","90.00","104"
"C146","C_1608","90.5mm","80mm","90.5mm","80mm","90.5mm","79.3mm","B","90.00","104"
"C174","C_1608","90.5mm","94mm","90.5mm","94mm","90.5mm","93.3mm","B","90.00","104"
"C202","C_1608","90.5mm","108mm","90.5mm","108mm","90.5mm","107.3mm","B","90.00","104"
"C230","C_1608","90.5mm","122mm","90.5mm","122mm","90.5mm","121.3mm","B","90.00","104"
"C258","C_1608","90.5mm","136mm","90.5mm","136mm","90.5mm","135.3mm","B","90.00","104"
"C286","C_1608","90.5mm","150mm","90.5mm","150mm","90.5mm","149.3mm","B","90.00","104"
"C314","C_1608","90.5mm","164mm","90.5mm","164mm","90.5mm","163.3mm","B","90.00","104"
"C342","C_1608","90.5mm","178mm","90.5mm","178mm","90.5mm","177.3mm","B","90.00","104"
"C370","C_1608","90.5mm","192mm","90.5mm","192mm","90.5mm","191.3mm","B","90.00","104"
"C398","C_1608","90.5mm","206mm","90.5mm","206mm","90.5mm","205.3mm","B","90.00","104"
"C426","C_1608","90.5mm","220mm","90.5mm","220mm","90.5mm","219.3mm","B","90.00","104"
"C454","C_1608","90.5mm","234mm","90.5mm","234mm","90.5mm","233.3mm","B","90.00","104"
"C482","C_1608","90.5mm","248mm","90.5mm","248mm","90.5mm","247.3mm","B","90.00","104"
"C510","C_1608","90.5mm","262mm","90.5mm","262mm","90.5mm","261.3mm","B","90.00","104"
"C538","C_1608","90.5mm","276mm","90.5mm","276mm","90.5mm","275.3mm","B","90.00","104"
"C566","C_1608","90.5mm","290mm","90.5mm","290mm","90.5mm","289.3mm","B","90.00","104"
"C594","C_1608","90.5mm","304mm","90.5mm","304mm","90.5mm","303.3mm","B","90.00","104"
"C622","C_1608","90.5mm","318mm","90.5mm","318mm","90.5mm","317.3mm","B","90.00","104"
"C650","C_1608","90.5mm","332mm","90.5mm","332mm","90.5mm","331.3mm","B","90.00","104"
"C678","C_1608","90.5mm","346mm","90.5mm","346mm","90.5mm","345.3mm","B","90.00","104"
"C706","C_1608","90.5mm","360mm","90.5mm","360mm","90.5mm","359.3mm","B","90.00","104"
"C734","C_1608","90.5mm","374mm","90.5mm","374mm","90.5mm","373.3mm","B","90.00","104"
"C762","C_1608","90.5mm","388mm","90.5mm","388mm","90.5mm","387.3mm","B","90.00","104"
"C790","C_1608","90.5mm","402mm","90.5mm","402mm","90.5mm","401.3mm","B","90.00","104"
"C818","C_1608","90.5mm","416mm","90.5mm","416mm","90.5mm","415.3mm","B","90.00","104"
"C846","C_1608","90.5mm","430mm","90.5mm","430mm","90.5mm","429.3mm","B","90.00","104"
"C874","C_1608","90.5mm","444mm","90.5mm","444mm","90.5mm","443.3mm","B","90.00","104"
"C902","C_1608","90.5mm","458mm","90.5mm","458mm","90.5mm","457.3mm","B","90.00","104"
"C930","C_1608","90.5mm","472mm","90.5mm","472mm","90.5mm","471.3mm","B","90.00","104"
"C958","C_1608","90.5mm","486mm","90.5mm","486mm","90.5mm","485.3mm","B","90.00","104"
"LED35","LED_WS2812C-2020","104.5mm","24mm","104.5mm","24mm","105.5mm","23.5mm","T","360.00","WS2812C-2020"
"LED63","LED_WS2812C-2020","104.5mm","38mm","104.5mm","38mm","105.5mm","37.5mm","T","360.00","WS2812C-2020"
"LED91","LED_WS2812C-2020","104.5mm","52mm","104.5mm","52mm","105.5mm","51.5mm","T","360.00","WS2812C-2020"
"LED119","LED_WS2812C-2020","104.5mm","66mm","104.5mm","66mm","105.5mm","65.5mm","T","360.00","WS2812C-2020"
"LED147","LED_WS2812C-2020","104.5mm","80mm","104.5mm","80mm","105.5mm","79.5mm","T","360.00","WS2812C-2020"
"LED175","LED_WS2812C-2020","104.5mm","94mm","104.5mm","94mm","105.5mm","93.5mm","T","360.00","WS2812C-2020"
"LED203","LED_WS2812C-2020","104.5mm","108mm","104.5mm","108mm","105.5mm","107.5mm","T","360.00","WS2812C-2020"
"LED231","LED_WS2812C-2020","104.5mm","122mm","104.5mm","122mm","105.5mm","121.5mm","T","360.00","WS2812C-2020"
