"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SP306","SEN_POINT_11P8x9-2","370.5mm","157mm","370.5mm","157mm","370.5mm","153mm","T","0.00","SEN_POINT"
"SP278","SEN_POINT_11P8x9-2","370.5mm","143mm","370.5mm","143mm","370.5mm","139mm","T","0.00","SEN_POINT"
"SP250","SEN_POINT_11P8x9-2","370.5mm","129mm","370.5mm","129mm","370.5mm","125mm","T","0.00","SEN_POINT"
"SP222","SEN_POINT_11P8x9-2","370.5mm","115mm","370.5mm","115mm","370.5mm","111mm","T","0.00","SEN_POINT"
"SP194","SEN_POINT_11P8x9-2","370.5mm","101mm","370.5mm","101mm","370.5mm","97mm","T","0.00","SEN_POINT"
"SP166","SEN_POINT_11P8x9-2","370.5mm","87mm","370.5mm","87mm","370.5mm","83mm","T","0.00","SEN_POINT"
"SP138","SEN_POINT_11P8x9-2","370.5mm","73mm","370.5mm","73mm","370.5mm","69mm","T","0.00","SEN_POINT"
"SP110","SEN_POINT_11P8x9-2","370.5mm","59mm","370.5mm","59mm","370.5mm","55mm","T","0.00","SEN_POINT"
"SP82","SEN_POINT_11P8x9-2","370.5mm","45mm","370.5mm","45mm","370.5mm","41mm","T","0.00","SEN_POINT"
"SP54","SEN_POINT_11P8x9-2","370.5mm","31mm","370.5mm","31mm","370.5mm","27mm","T","0.00","SEN_POINT"
"SP949","SEN_POINT_11P8x9-2","356.5mm","479mm","356.5mm","479mm","356.5mm","475mm","T","0.00","SEN_POINT"
"SP921","SEN_POINT_11P8x9-2","356.5mm","465mm","356.5mm","465mm","356.5mm","461mm","T","0.00","SEN_POINT"
"SP893","SEN_POINT_11P8x9-2","356.5mm","451mm","356.5mm","451mm","356.5mm","447mm","T","0.00","SEN_POINT"
"SP865","SEN_POINT_11P8x9-2","356.5mm","437mm","356.5mm","437mm","356.5mm","433mm","T","0.00","SEN_POINT"
